100 4784
12 33 29
31 39 23
28 47 26
54 87 13
54 60 18
6 60 24
5 42 23
38 97 12
26 40 17
68 84 1
16 87 8
14 42 24
14 32 30
58 76 21
0 83 16
9 84 23
27 73 7
22 82 8
19 65 24
3 47 2
56 60 8
1 24 18
26 73 26
8 95 20
71 89 11
71 77 17
47 70 9
61 79 26
9 93 15
9 81 11
5 22 4
23 60 29
3 46 12
8 12 9
43 76 28
74 81 17
23 34 6
4 64 29
41 89 30
36 57 30
15 83 14
30 60 20
75 93 14
11 39 19
25 35 25
38 40 19
34 81 20
12 79 23
36 92 14
18 97 27
9 26 21
30 75 7
38 55 6
54 98 2
66 97 13
26 91 27
86 98 29
17 43 3
36 50 23
40 59 13
13 75 26
56 88 3
4 72 6
17 44 2
25 42 24
37 79 7
30 95 14
67 78 21
39 65 8
30 36 23
1 88 1
53 66 25
16 69 4
2 79 11
0 58 12
9 53 8
30 69 9
27 43 17
51 86 8
34 60 13
41 87 9
2 70 11
37 69 10
29 55 6
4 36 23
44 79 16
46 55 30
10 88 7
49 77 4
11 21 27
0 24 14
8 58 29
8 73 30
45 74 20
15 84 19
31 42 27
77 96 26
12 25 11
40 52 19
11 67 12
26 86 22
13 66 21
24 59 28
31 65 27
5 71 23
44 94 8
20 80 25
36 66 16
40 77 15
27 97 8
11 99 23
80 91 9
2 68 22
21 92 28
5 47 7
30 93 20
46 97 23
24 74 15
8 36 9
59 93 3
53 67 4
45 91 10
47 84 15
63 71 9
51 58 11
26 78 8
63 81 5
45 70 15
7 80 24
76 96 2
47 50 23
14 22 3
5 89 5
40 76 3
50 63 7
2 76 23
49 92 7
15 45 19
42 59 19
7 85 22
22 53 26
40 49 6
28 54 2
52 60 8
39 41 19
31 78 30
15 34 21
31 33 11
68 71 7
55 79 1
52 88 9
8 44 12
47 85 15
28 46 27
35 53 6
18 83 17
41 76 14
1 58 28
31 54 15
54 62 25
9 25 23
39 77 26
54 74 23
76 81 21
4 58 12
35 96 17
48 88 15
31 34 27
48 49 28
28 85 10
2 33 27
47 63 1
7 72 13
9 80 16
62 83 25
77 81 7
42 62 18
45 63 25
44 45 26
22 37 25
31 48 18
7 36 5
19 83 29
21 82 18
30 98 13
4 54 19
6 46 5
6 40 26
4 25 6
84 92 27
46 79 25
57 71 11
92 98 7
85 99 9
41 88 19
91 92 17
8 87 24
38 53 28
79 96 13
75 94 13
59 63 8
75 77 21
31 36 9
16 94 15
22 97 27
34 42 5
38 41 11
34 98 6
52 98 26
28 48 30
16 52 10
60 84 5
3 43 14
39 75 30
1 21 9
12 75 7
28 36 8
71 76 30
56 71 3
53 98 24
43 74 2
20 78 9
74 75 11
41 55 22
18 45 2
34 63 17
33 79 27
35 42 4
46 67 13
68 91 19
13 92 9
40 44 9
29 85 4
47 74 13
32 59 19
12 17 12
63 69 12
69 71 9
74 99 16
65 92 3
30 72 1
53 68 15
32 82 15
23 97 14
24 45 27
30 94 3
31 58 18
52 64 3
60 99 11
5 80 1
41 49 26
8 19 19
18 60 20
30 33 2
2 16 23
16 57 2
17 92 13
38 96 15
44 96 13
35 65 8
44 72 22
63 92 26
20 85 27
19 24 27
20 55 19
10 56 27
27 59 13
6 16 25
15 27 25
41 72 18
34 64 25
48 64 16
8 11 3
9 27 2
1 37 4
8 18 18
42 61 15
15 30 15
16 47 16
53 65 28
30 47 5
27 94 11
1 72 10
5 60 15
16 25 5
2 98 23
0 49 1
